transaction_id,customer_id,product_name,product_category,quantity,price,transaction_date,store_location,payment_method,discount_applied
53e3d9f5-6231-46de-aa39-e5f8eaae2eee,727839b2-f084-4e94-94d8-ae59cc8e4b84,Ring Doorbell,Smart Home Devices,1.0,140.07,2020-12-06,"Houston, TX",Credit Card,20.0
ae6e6edf-f2fe-45c8-989c-c01e77eade0c,c4ac244c-989e-46fb-b243-91dd1d5cf739,Oculus Quest,Gaming Consoles,1.0,339.57,2021-04-26,Online,Gift Card,0.0
ba85240a-2b5d-4987-ac0a-efb6a4a57d6d,d296bf0d-92bb-4670-a578-2fd3553cf7c8,Samsung Galaxy S22,Smartphones,2.0,1335.88,2021-10-28,Online,PayPal,30.0
3725a285-2a2b-4a80-b317-7c8041cd9b8b,7b1b9980-9d65-40fc-8ad6-6afaae4699e4,External Hard Drive,Computer Accessories,1.0,91.56,2023-03-16,Online,Credit Card,25.0
de1b05a5-68c7-4b00-a068-e8c2f13f0dab,8595dcfa-2bfc-46f4-a15a-042af85b78cd,MacBook Pro,Laptops,1.0,985.15,2022-08-30,"Atlanta, GA",Credit Card,0.0
c0250388-c402-4a2a-9b6c-4a65e2ab7ca3,70e505f7-c48f-4cbc-9198-81990224d5b4,Range Hood,Kitchen Appliances,1.0,215.94,2021-12-09,"Boston, MA",Credit Card,0.0
2936863b-85c8-410d-8ff7-ae59fa28ce8b,1b194bc2-2033-4e79-912c-91e3fd9d02cc,Range Hood,Kitchen Appliances,,989.55,2022-12-24,"Denver, CO",Gift Card,0.0
52092e84-7d39-4310-8c36-de3b4d60958f,c3d8bfa8-7cd8-454a-a248-22e452abd1aa,JBL Bluetooth Speaker,Audio Equipment,1.0,227.36,2022-10-30,Online,Debit Card,0.0
50e97eb9-f1be-40ea-8d84-3fe91b189645,167836c6-534e-4a8f-83ac-3d6ef6e3da05,Sofa,Furniture,1.0,362.67,2025-02-21,"Miami, FL",Apple Pay,0.0
0b0e3abe-fbe2-478b-b36f-6a5f95f27a9f,2bfcd9ca-a7e1-48ab-8a46-9b2804333a53,,Kitchen Appliances,1.0,1033.261128576143,2024-01-08,Online,Debit Card,10.0
f3cd4b5e-7f65-4ad3-9ce7-0961c5f47dfd,b0f6364d-d980-4ddf-a142-8cd14123d788,Air Fryer,Small Kitchen Appliances,1.0,81.96,2022-08-01,Online,Debit Card,0.0
